molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL5750713,active,8.0,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCN4CCCC4=O)c3)ncc2F)c1,490.5390000000004,4.618700000000003,3.0,7.0
CHEMBL5752981,active,7.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCN4CCOCC4)c3)ncc2F)c1,492.5550000000004,4.328500000000003,3.0,8.0
CHEMBL5985220,active,7.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCNC(=O)CCCC(=O)NCCCOCCOCCOCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)c3)ncc2C)c1,961.1999999999996,5.240320000000006,8.0,14.0
CHEMBL5759591,active,7.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCNC(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@@H]54)c3)ncc2C)c1,644.8020000000004,5.007620000000004,6.0,9.0
CHEMBL5756489,active,6.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCNC(=O)OC(C)(C)C)c3)ncc2C)c1,518.6180000000004,5.690320000000004,4.0,8.0
CHEMBL6000015,active,6.0,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCNC(=O)OC(C)(C)C)c3)ncc2F)c1,522.5810000000004,5.521000000000004,4.0,8.0
CHEMBL5759845,active,7.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCS(C)(=O)=O)c3)ncc2F)c1,485.5410000000003,4.040900000000002,3.0,8.0
CHEMBL5892354,active,7.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCCn4ccnc4)c3)ncc2F)c1,473.5120000000002,4.8930000000000025,3.0,7.0
CHEMBL5994835,active,8.0,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCN(C)C)c3)ncc2F)c1,436.4910000000002,4.167800000000002,3.0,7.0
CHEMBL5934357,active,8.0,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCN4CCCC4=O)c3)ncc2F)c1,476.51200000000034,4.228600000000003,3.0,7.0
CHEMBL6056251,active,7.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(OCCO)c3)ncc2F)c1,409.42100000000016,3.5985000000000005,4.0,7.0
CHEMBL5977918,active,8.0,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(S(N)(=O)=O)c3)ncc2C)c1,424.48600000000016,3.0441200000000004,4.0,7.0
CHEMBL5792648,active,8.0,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc(S(N)(=O)=O)c3)ncc2F)c1,428.4490000000001,2.8747999999999996,4.0,7.0
CHEMBL5886380,inactive,2.8914349762671656,C=CC(=O)Nc1cccc(Nc2nc(Nc3cccc4c3CCN(C(C)=O)C4)ncc2C(F)(F)F)c1,496.4930000000003,5.011700000000003,3.0,6.0
CHEMBL5989462,active,8.0,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)ncc2C#N)c1,356.38900000000007,3.9599800000000007,3.0,6.0
CHEMBL5762278,active,7.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)ncc2C(=O)NC2CC2)c1,414.46900000000016,3.980500000000001,4.0,6.0
CHEMBL5876174,inactive,5.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccccc3)ncc2C(=O)NCc2ccc(OC)cc2)c1,494.55500000000023,5.026900000000003,4.0,7.0
